id_biblio,nombiblio,emailbiblio
1,Bibliothèque Nationale de France,contact@bnf.fr
2,Médiathèque José Cabanis,mediatheque@toulouse.fr
3,Bibliothèque Municipale de Lyon,bml@lyon.fr
4,Bibliothèque Universitaire Paris,bup@paris.fr
5,Médiathèque André Malraux,malraux@strasbourg.fr
6,Bibliothèque de l'Université de Bordeaux,bu@bordeaux.fr
7,Médiathèque de Nantes,mediatheque@nantes.fr
8,Bibliothèque Publique d'Information,bpi@centrepompidou.fr
9,Médiathèque de Montpellier,mediatheque@montpellier.fr
10,Bibliothèque Universitaire de Lille,bu@lille.fr
