id_emprunt,id_client,id_exemplaire,dateemprunt,dateretourprevue,dateretourreelle
1,191,1224,2018-05-28,2018-06-25,2018-06-30
2,50,1737,2017-07-01,2017-07-29,2017-07-29
3,4,1002,2024-03-29,2024-04-12,2024-04-17
4,148,683,2024-04-24,2024-05-08,
5,360,1698,2023-03-04,2023-03-25,2023-03-25
6,202,262,2024-08-31,2024-09-28,2024-09-30
7,477,1780,2022-05-20,2022-06-03,
8,473,1595,2015-10-06,2015-11-03,2015-11-05
9,254,322,2022-03-06,2022-03-20,2022-03-29
10,375,505,2019-10-10,2019-10-31,2019-11-12
11,284,666,2021-12-04,2021-12-25,2021-12-30
12,88,1396,2016-12-01,2016-12-15,2016-12-19
13,52,832,2024-06-09,2024-06-30,2024-07-05
14,315,173,2016-04-18,2016-05-16,2016-05-22
15,271,1745,2020-01-12,2020-01-26,2020-01-22
16,48,530,2022-02-21,2022-03-07,2022-03-21
17,118,1567,2020-01-10,2020-01-31,2020-02-10
18,153,898,2019-02-08,2019-03-08,2019-03-07
19,58,1707,2024-10-19,2024-11-16,2024-11-20
20,154,1439,2023-11-08,2023-11-29,2023-12-12
21,149,1736,2024-01-14,2024-02-11,2024-02-14
22,251,1046,2021-10-06,2021-10-20,2021-10-22
23,272,446,2020-12-28,2021-01-11,2021-01-09
24,36,1410,2019-09-22,2019-10-06,
25,471,1231,2017-04-03,2017-04-17,2017-04-28
26,263,972,2017-01-16,2017-02-06,
27,416,1872,2020-09-03,2020-10-01,
28,246,1113,2021-03-30,2021-04-13,2021-04-13
29,223,377,2020-04-30,2020-05-14,2020-05-26
30,63,912,2018-07-18,2018-08-15,2018-08-15
31,475,671,2022-10-03,2022-10-24,2022-10-25
32,26,208,2023-03-05,2023-03-19,2023-03-30
33,183,871,2020-09-27,2020-10-25,
34,446,782,2022-09-09,2022-09-30,2022-10-03
35,381,776,2020-07-26,2020-08-09,2020-08-18
36,478,134,2016-10-27,2016-11-24,2016-12-07
37,70,1204,2018-06-25,2018-07-09,2018-07-16
38,323,1626,2021-10-12,2021-11-09,2021-11-16
39,175,108,2019-10-28,2019-11-18,
40,354,76,2021-11-01,2021-11-29,2021-11-24
41,175,983,2016-04-04,2016-04-18,2016-04-30
42,427,1907,2017-07-22,2017-08-19,2017-08-21
43,361,175,2022-09-01,2022-09-29,2022-09-27
44,149,1853,2021-01-22,2021-02-19,2021-03-02
45,142,1508,2018-03-23,2018-04-06,2018-04-13
46,371,938,2020-10-08,2020-11-05,2020-11-19
47,467,1796,2021-07-15,2021-08-05,2021-08-17
48,179,1545,2019-02-28,2019-03-21,2019-04-03
49,380,228,2020-10-30,2020-11-13,
50,37,904,2024-06-13,2024-07-11,2024-07-10
51,312,1353,2023-05-11,2023-06-08,2023-06-20
52,154,1084,2022-06-06,2022-07-04,2022-07-03
53,461,168,2021-01-22,2021-02-05,2021-02-14
54,385,1190,2020-03-07,2020-03-21,
55,135,1896,2020-12-07,2020-12-28,
56,218,1017,2018-09-08,2018-09-22,2018-09-23
57,268,215,2023-07-13,2023-07-27,2023-08-03
58,16,430,2015-12-06,2015-12-20,2016-01-04
59,435,1099,2020-12-03,2020-12-31,2021-01-08
60,252,1709,2016-04-12,2016-04-26,2016-05-10
61,296,24,2021-01-15,2021-01-29,2021-02-03
62,337,1878,2024-12-14,2024-12-28,2025-01-11
63,427,216,2024-09-19,2024-10-17,2024-10-17
64,162,303,2019-12-29,2020-01-19,2020-01-25
65,300,426,2021-04-13,2021-05-04,
66,382,1034,2017-06-24,2017-07-15,2017-07-20
67,493,1534,2021-01-14,2021-01-28,2021-02-06
68,345,809,2015-02-18,2015-03-18,2015-03-17
69,295,494,2015-03-23,2015-04-20,2015-04-18
70,491,1757,2023-10-30,2023-11-27,2023-11-29
71,243,630,2020-12-21,2021-01-04,
72,179,249,2016-07-04,2016-08-01,
73,31,1414,2017-09-23,2017-10-21,2017-11-03
74,439,1029,2020-12-15,2021-01-05,2021-01-03
75,32,1801,2023-01-16,2023-01-30,2023-02-04
76,106,821,2016-07-09,2016-07-30,2016-08-08
77,408,1612,2015-10-13,2015-11-03,
78,72,1874,2020-12-14,2021-01-04,2021-01-11
79,261,1476,2019-12-07,2019-12-21,2019-12-27
80,181,496,2021-09-21,2021-10-12,2021-10-13
81,321,684,2023-12-15,2024-01-12,2024-01-07
82,385,1724,2021-02-08,2021-03-01,
83,231,1364,2019-10-29,2019-11-12,2019-11-16
84,421,770,2017-10-05,2017-10-19,2017-10-26
85,183,711,2017-09-07,2017-10-05,2017-10-05
86,127,805,2023-11-10,2023-11-24,2023-11-28
87,430,1041,2022-08-12,2022-09-09,2022-09-08
88,15,1752,2017-09-09,2017-09-30,2017-10-09
89,194,840,2016-10-10,2016-11-07,2016-11-22
90,152,363,2015-01-20,2015-02-10,
91,132,141,2020-11-04,2020-11-18,2020-11-21
92,18,1830,2024-02-29,2024-03-28,2024-03-25
93,237,1964,2016-03-05,2016-04-02,
94,172,1097,2018-08-17,2018-09-14,
95,210,1697,2024-10-12,2024-11-09,
96,494,255,2017-12-23,2018-01-06,
97,1,278,2015-06-03,2015-06-17,2015-06-29
98,250,860,2020-07-01,2020-07-15,2020-07-14
99,447,210,2017-05-04,2017-05-25,2017-06-05
100,233,238,2017-12-14,2018-01-11,2018-01-14
101,407,433,2020-12-06,2021-01-03,2021-01-08
102,215,1015,2015-03-30,2015-04-27,2015-04-23
103,321,1977,2019-07-06,2019-07-27,2019-08-10
104,259,1099,2022-10-05,2022-10-19,2022-10-19
105,261,931,2023-07-25,2023-08-15,
106,387,1968,2023-08-01,2023-08-22,
107,122,1703,2018-12-07,2018-12-21,
108,70,1733,2024-04-28,2024-05-19,2024-05-28
109,11,1315,2020-07-03,2020-07-17,2020-07-18
110,62,1616,2019-10-07,2019-11-04,
111,398,1477,2016-03-08,2016-03-29,2016-04-01
112,303,1032,2023-08-03,2023-08-17,2023-08-18
113,260,1011,2023-07-10,2023-08-07,
